category,recommended_mode,kept_in_app,worst_regime,worst_auc_mean,worst_balanced_accuracy_mean,best_regime,best_auc_mean,property_matched_auc_mean,property_matched_balanced_accuracy_mean,preferred_hard_negative_regime,preferred_hard_negative_auc_mean,preferred_hard_negative_balanced_accuracy_mean,retention_reason
animal_drugs,evidence_panel,True,audited_hard_negative,0.3924,0.5115,related_hard,0.5973,0.43,0.53,audited_hard_negative,0.3924,0.5115,Keep in app as tracked experimental category with evidence-panel workflow despite weak or unstable global score.
cosmetics,evidence_panel,True,distant_other,0.505,0.505,related_hard,0.6475,0.6,0.6,audited_hard_negative,0.6,0.6,Keep in app as tracked experimental category with evidence-panel workflow despite weak or unstable global score.
endocrine_disruptors,experimental_score,True,property_matched,0.3899,0.5278,distant_other,0.8704,0.3899,0.5278,property_matched,0.3899,0.5278,"Keep in app and paper as experimental tracked category for future improvement, not as release-grade scorer."
flavoring_agents,experimental_score,True,property_matched,0.525,0.525,distant_other,0.9437,0.525,0.525,audited_hard_negative,0.535,0.535,"Keep in app and paper as experimental tracked category for future improvement, not as release-grade scorer."
food_additives,experimental_score,True,property_matched,0.4247,0.5546,related_hard,0.785,0.4247,0.5546,property_matched,0.4247,0.5546,"Keep in app and paper as experimental tracked category for future improvement, not as release-grade scorer."
food_contact_substances,evidence_panel,True,audited_hard_negative,0.38,0.5,related_hard,0.6166,0.44,0.5573,audited_hard_negative,0.38,0.5,Keep in app as tracked experimental category with evidence-panel workflow despite weak or unstable global score.
fragrances,experimental_score,True,property_matched,0.61,0.61,distant_other,0.8807,0.61,0.61,audited_hard_negative,0.61,0.61,"Keep in app and paper as experimental tracked category for future improvement, not as release-grade scorer."
human_drugs,evidence_panel,True,property_matched,0.3815,0.5,distant_other,0.8148,0.3815,0.5,audited_hard_negative,0.4309,0.548,Keep in app as tracked experimental category with evidence-panel workflow despite weak or unstable global score.
lipids,experimental_score,True,audited_hard_negative,0.62,0.62,related_hard,0.8926,0.625,0.625,audited_hard_negative,0.62,0.62,"Keep in app and paper as experimental tracked category for future improvement, not as release-grade scorer."
pesticides,experimental_score,True,property_matched,0.5256,0.6431,distant_other,0.7842,0.5256,0.6431,property_matched,0.5256,0.6431,"Keep in app and paper as experimental tracked category for future improvement, not as release-grade scorer."
pfas,robust_score,True,all_other_random,0.9852,0.9566,property_matched,0.9985,0.9985,0.9837,property_matched,0.9985,0.9837,Keep as release-grade scorer; performance remains strong across negative-set regimes.
solvents,experimental_score,True,property_matched,0.47,0.574,all_other_random,0.9431,0.47,0.574,property_matched,0.47,0.574,"Keep in app and paper as experimental tracked category for future improvement, not as release-grade scorer."
surfactants,experimental_score,True,property_matched,0.56,0.56,related_hard,0.9693,0.56,0.56,property_matched,0.56,0.56,"Keep in app and paper as experimental tracked category for future improvement, not as release-grade scorer."
