output_id,output_name,output_level,validation_regime,sampled_positive_count,sampled_negative_count,current_reported_auc,current_reported_balanced_accuracy,qed_auc,qed_balanced_accuracy,delta_auc_vs_qed,delta_balanced_accuracy_vs_qed,beats_qed_auc,beats_qed_balanced_accuracy,reportable_vs_qed,comparison_note
pfas,PFAS,category,property_matched,100,276,0.9985,0.9837,0.2601,0.505,0.7384,0.4787,yes,yes,yes,Current reported score is compared against raw RDKit QED on the same reconstructed positive/evaluation-negative set.
surfactants,Surfactants,category,property_matched,25,60,0.5863,0.655,0.4763,0.61,0.11,0.045,yes,yes,yes,Current reported score is compared against raw RDKit QED on the same reconstructed positive/evaluation-negative set.
solvents,Solvents,category,property_matched,25,60,0.68,0.68,0.6113,0.6783,0.0687,0.0017,yes,yes,yes,Current reported score is compared against raw RDKit QED on the same reconstructed positive/evaluation-negative set.
endocrine_disruptors,Endocrine Disruptors,category,property_matched,25,60,0.5,0.5,0.1613,0.5,0.3387,0,yes,no,yes,Current reported score is compared against raw RDKit QED on the same reconstructed positive/evaluation-negative set.
pesticides,Pesticides,category,property_matched,25,60,0.7287,0.7267,0.4347,0.58,0.294,0.1467,yes,yes,yes,Current reported score is compared against raw RDKit QED on the same reconstructed positive/evaluation-negative set.
fragrances,Fragrances,category,audited_hard_negative,25,2,0.58,0.58,0.5,0.7,0.08,-0.12,yes,no,yes,Current reported score is compared against raw RDKit QED on the same reconstructed positive/evaluation-negative set.
food_additives,Food Additives,category,property_matched,25,60,0.58,0.58,0.587,0.6883,-0.007,-0.1083,no,no,no,Current reported score is compared against raw RDKit QED on the same reconstructed positive/evaluation-negative set.
flavoring_agents,Flavoring Agents,category,audited_hard_negative,25,4,0.66,0.66,0.75,0.8,-0.09,-0.14,no,no,no,Current reported score is compared against raw RDKit QED on the same reconstructed positive/evaluation-negative set.
lipids,Lipids,category,audited_hard_negative,25,18,0.8811,0.8167,0.3889,0.64,0.4922,0.1767,yes,yes,yes,Current reported score is compared against raw RDKit QED on the same reconstructed positive/evaluation-negative set.
cosmetics,Cosmetics,category,audited_hard_negative,300,293,0.5933,0.5933,0.1582,0.5,0.4351,0.0933,yes,yes,yes,Current reported score is compared against raw RDKit QED on the same reconstructed positive/evaluation-negative set.
food_contact_substances,Food Contact Substances,category,audited_hard_negative,300,295,0.5,0.5,0.2074,0.5,0.2926,0,yes,no,yes,Current reported score is compared against raw RDKit QED on the same reconstructed positive/evaluation-negative set.
human_drugs,Human Drugs,category,audited_hard_negative,300,280,0.4609,0.5443,0.2368,0.5,0.2241,0.0443,yes,yes,yes,Current reported score is compared against raw RDKit QED on the same reconstructed positive/evaluation-negative set.
animal_drugs,Animal Drugs,category,audited_hard_negative,300,272,0.5236,0.5673,0.2047,0.5,0.3189,0.0673,yes,yes,yes,Current reported score is compared against raw RDKit QED on the same reconstructed positive/evaluation-negative set.
polymers,Polymers,category,property_matched,,,0.5,0.5,,,,,,,,No current per-run artifact was available to reconstruct the evaluation dataset for QED.
uvcb,UVCB,category,property_matched,,,0.5759,0.55,,,,,,,,No current per-run artifact was available to reconstruct the evaluation dataset for QED.
